[DEBUG] 2021-12-15 12:46:32.984 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2021-12-15 12:46:32.986 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2021-12-15 12:46:32.992 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2021-12-15 12:46:33.065 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2021-12-15 12:46:33.067 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2021-12-15 12:46:33.252 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2021-12-15 12:46:33.509 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2021-12-15 12:46:33.532 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2021-12-15 12:46:33.537 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2021-12-15 12:46:33.551 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2021-12-15 12:46:33.579 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@5fac521d
[DEBUG] 2021-12-15 12:46:33.581 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@5fac521d
[DEBUG] 2021-12-15 12:46:33.581 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@5fac521d
[DEBUG] 2021-12-15 12:46:33.582 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@3abfe845
[DEBUG] 2021-12-15 12:46:33.583 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@7f08caf
[DEBUG] 2021-12-15 12:46:33.584 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@27a2a089
[DEBUG] 2021-12-15 12:46:33.585 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@2aa6311a
[DEBUG] 2021-12-15 12:46:33.585 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@2aa6311a
[DEBUG] 2021-12-15 12:46:33.586 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@2aa6311a
[DEBUG] 2021-12-15 12:46:33.586 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@2d0ecb24
[DEBUG] 2021-12-15 12:46:33.586 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@2d0ecb24
[DEBUG] 2021-12-15 12:46:33.586 [main] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@2d0ecb24
[DEBUG] 2021-12-15 12:46:33.587 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@7e00ed0f
[DEBUG] 2021-12-15 12:46:33.588 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@7e00ed0f
[DEBUG] 2021-12-15 12:46:33.588 [main] BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@7e00ed0f
[DEBUG] 2021-12-15 12:46:33.588 [main] BasicTypeRegistry - Adding type registration integer -> org.hibernate.type.IntegerType@65753040
[DEBUG] 2021-12-15 12:46:33.588 [main] BasicTypeRegistry - Adding type registration int -> org.hibernate.type.IntegerType@65753040
[DEBUG] 2021-12-15 12:46:33.588 [main] BasicTypeRegistry - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@65753040
[DEBUG] 2021-12-15 12:46:33.590 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@4e1459ea
[DEBUG] 2021-12-15 12:46:33.590 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@4e1459ea
[DEBUG] 2021-12-15 12:46:33.590 [main] BasicTypeRegistry - Adding type registration java.lang.Long -> org.hibernate.type.LongType@4e1459ea
[DEBUG] 2021-12-15 12:46:33.591 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@57c47a9e
[DEBUG] 2021-12-15 12:46:33.592 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@57c47a9e
[DEBUG] 2021-12-15 12:46:33.592 [main] BasicTypeRegistry - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@57c47a9e
[DEBUG] 2021-12-15 12:46:33.592 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@52d6cd34
[DEBUG] 2021-12-15 12:46:33.598 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@52d6cd34
