[DEBUG] 2021-11-29 22:16:42.585 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2021-11-29 22:16:42.594 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2021-11-29 22:16:42.603 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2021-11-29 22:16:42.686 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2021-11-29 22:16:42.690 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2021-11-29 22:16:42.898 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2021-11-29 22:16:43.135 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2021-11-29 22:16:43.159 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2021-11-29 22:16:43.159 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2021-11-29 22:16:43.179 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2021-11-29 22:16:43.216 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@205bed61
[DEBUG] 2021-11-29 22:16:43.216 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@205bed61
[DEBUG] 2021-11-29 22:16:43.216 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@205bed61
[DEBUG] 2021-11-29 22:16:43.216 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@7c2b58c0
[DEBUG] 2021-11-29 22:16:43.216 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@7a2b1eb4
[DEBUG] 2021-11-29 22:16:43.216 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@23f3dbf0
[DEBUG] 2021-11-29 22:16:43.217 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@165e389b
[DEBUG] 2021-11-29 22:16:43.217 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@165e389b
[DEBUG] 2021-11-29 22:16:43.217 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@165e389b
[DEBUG] 2021-11-29 22:16:43.218 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@71f0b72e
[DEBUG] 2021-11-29 22:16:43.218 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@71f0b72e
[DEBUG] 2021-11-29 22:16:43.221 [main] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@71f0b72e
[DEBUG] 2021-11-29 22:16:43.221 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@3681037
[DEBUG] 2021-11-29 22:16:43.221 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@3681037
[DEBUG] 2021-11-29 22:16:43.222 [main] BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@3681037
[DEBUG] 2021-11-29 22:16:43.222 [main] BasicTypeRegistry - Adding type registration integer -> org.hibernate.type.IntegerType@4f3e7344
[DEBUG] 2021-11-29 22:16:43.222 [main] BasicTypeRegistry - Adding type registration int -> org.hibernate.type.IntegerType@4f3e7344
[DEBUG] 2021-11-29 22:16:43.222 [main] BasicTypeRegistry - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@4f3e7344
[DEBUG] 2021-11-29 22:16:43.223 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@782bf610
[DEBUG] 2021-11-29 22:16:43.224 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@782bf610
[DEBUG] 2021-11-29 22:16:43.224 [main] BasicTypeRegistry - Adding type registration java.lang.Long -> org.hibernate.type.LongType@782bf610
[DEBUG] 2021-11-29 22:16:43.225 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@10895b16
[DEBUG] 2021-11-29 22:16:43.225 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@10895b16
[DEBUG] 2021-11-29 22:16:43.225 [main] BasicTypeRegistry - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@10895b16
[DEBUG] 2021-11-29 22:16:43.225 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@3b9632d1
[DEBUG] 2021-11-29 22:16:43.227 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@3b9632d1
[DEBUG] 2021-11-29 22:16:43.228 [main] BasicTypeRegistry - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@3b9632d1
[DEBUG] 2021-11-29 22:16:43.228 [main] BasicTypeRegistry - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@1846579f
[DEBUG] 2021-11-29 22:16:43.229 [main] BasicTypeRegistry - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@1846579f
[DEBUG] 2021-11-29 22:16:43.229 [main] BasicTypeRegistry - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@7be7e15
[DEBUG] 2021-11-29 22:16:43.229 [main] BasicTypeRegistry - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@7be7e15
[DEBUG] 2021-11-29 22:16:43.230 [main] BasicTypeRegistry - Adding type registration string -> org.hibernate.type.StringType@2330e3e0
[DEBUG] 2021-11-29 22:16:43.230 [main] BasicTypeRegistry - Adding type registration java.lang.String -> org.hibernate.type.StringType@2330e3e0
[DEBUG] 2021-11-29 22:16:43.231 [main] BasicTypeRegistry - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@706eab5d
[DEBUG] 2021-11-29 22:16:43.232 [main] BasicTypeRegistry - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@3a230001
[DEBUG] 2021-11-29 22:16:43.232 [main] BasicTypeRegistry - Adding type registration url -> org.hibernate.type.UrlType@2c0b4c83
[DEBUG] 2021-11-29 22:16:43.232 [main] BasicTypeRegistry - Adding type registration java.net.URL -> org.hibernate.type.UrlType@2c0b4c83
[DEBUG] 2021-11-29 22:16:43.234 [main] BasicTypeRegistry - Adding type registration Duration -> org.hibernate.type.DurationType@6d7cada5
[DEBUG] 2021-11-29 22:16:43.234 [main] BasicTypeRegistry - Adding type registration java.time.Duration -> org.hibernate.type.DurationType@6d7cada5
[DEBUG] 2021-11-29 22:16:43.241 [main] BasicTypeRegistry - Adding type registration Instant -> org.hibernate.type.InstantType@3ab6678b
