[DEBUG] 2021-12-15 18:42:59.310 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2021-12-15 18:42:59.313 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2021-12-15 18:42:59.322 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2021-12-15 18:42:59.463 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2021-12-15 18:42:59.466 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2021-12-15 18:42:59.711 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2021-12-15 18:43:00.166 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2021-12-15 18:43:00.205 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2021-12-15 18:43:00.205 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2021-12-15 18:43:00.242 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2021-12-15 18:43:00.296 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@7135ce0a
[DEBUG] 2021-12-15 18:43:00.297 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@7135ce0a
[DEBUG] 2021-12-15 18:43:00.297 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@7135ce0a
[DEBUG] 2021-12-15 18:43:00.297 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@1df5c7e3
[DEBUG] 2021-12-15 18:43:00.297 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@25953be6
[DEBUG] 2021-12-15 18:43:00.301 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@b0f2d91
[DEBUG] 2021-12-15 18:43:00.302 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@184823ed
[DEBUG] 2021-12-15 18:43:00.302 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@184823ed
[DEBUG] 2021-12-15 18:43:00.302 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@184823ed
[DEBUG] 2021-12-15 18:43:00.303 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@794eeaf8
[DEBUG] 2021-12-15 18:43:00.303 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@794eeaf8
[DEBUG] 2021-12-15 18:43:00.305 [main] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@794eeaf8
[DEBUG] 2021-12-15 18:43:00.306 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@35eee641
[DEBUG] 2021-12-15 18:43:00.306 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@35eee641
[DEBUG] 2021-12-15 18:43:00.306 [main] BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@35eee641
[DEBUG] 2021-12-15 18:43:00.306 [main] BasicTypeRegistry - Adding type registration integer -> org.hibernate.type.IntegerType@52b959df
[DEBUG] 2021-12-15 18:43:00.307 [main] BasicTypeRegistry - Adding type registration int -> org.hibernate.type.IntegerType@52b959df
[DEBUG] 2021-12-15 18:43:00.307 [main] BasicTypeRegistry - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@52b959df
[DEBUG] 2021-12-15 18:43:00.307 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@1f7cec93
[DEBUG] 2021-12-15 18:43:00.310 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@1f7cec93
[DEBUG] 2021-12-15 18:43:00.310 [main] BasicTypeRegistry - Adding type registration java.lang.Long -> org.hibernate.type.LongType@1f7cec93
[DEBUG] 2021-12-15 18:43:00.311 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@59636c47
[DEBUG] 2021-12-15 18:43:00.311 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@59636c47
[DEBUG] 2021-12-15 18:43:00.311 [main] BasicTypeRegistry - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@59636c47
[DEBUG] 2021-12-15 18:43:00.312 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@59096b66
[DEBUG] 2021-12-15 18:43:00.312 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@59096b66
[DEBUG] 2021-12-15 18:43:00.316 [main] BasicTypeRegistry - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@59096b66
[DEBUG] 2021-12-15 18:43:00.317 [main] BasicTypeRegistry - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@6c538eb2
[DEBUG] 2021-12-15 18:43:00.317 [main] BasicTypeRegistry - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@6c538eb2
[DEBUG] 2021-12-15 18:43:00.318 [main] BasicTypeRegistry - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@24dd44f9
[DEBUG] 2021-12-15 18:43:00.318 [main] BasicTypeRegistry - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@24dd44f9
[DEBUG] 2021-12-15 18:43:00.319 [main] BasicTypeRegistry - Adding type registration string -> org.hibernate.type.StringType@36359723
[DEBUG] 2021-12-15 18:43:00.319 [main] BasicTypeRegistry - Adding type registration java.lang.String -> org.hibernate.type.StringType@36359723
[DEBUG] 2021-12-15 18:43:00.321 [main] BasicTypeRegistry - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@53eba4b8
[DEBUG] 2021-12-15 18:43:00.322 [main] BasicTypeRegistry - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@61608e1a
[DEBUG] 2021-12-15 18:43:00.325 [main] BasicTypeRegistry - Adding type registration url -> org.hibernate.type.UrlType@6401188a
[DEBUG] 2021-12-15 18:43:00.325 [main] BasicTypeRegistry - Adding type registration java.net.URL -> org.hibernate.type.UrlType@6401188a
[DEBUG] 2021-12-15 18:43:00.326 [main] BasicTypeRegistry - Adding type registration Duration -> org.hibernate.type.DurationType@373afd6c
[DEBUG] 2021-12-15 18:43:00.326 [main] BasicTypeRegistry - Adding type registration java.time.Duration -> org.hibernate.type.DurationType@373afd6c
[DEBUG] 2021-12-15 18:43:00.334 [main] BasicTypeRegistry - Adding type registration Instant -> org.hibernate.type.InstantType@7c5df615
[DEBUG] 2021-12-15 18:43:00.334 [main] BasicTypeRegistry - Adding type registration java.time.Instant -> org.hibernate.type.InstantType@7c5df615
[DEBUG] 2021-12-15 18:43:00.336 [main] BasicTypeRegistry - Adding type registration LocalDateTime -> org.hibernate.type.LocalDateTimeType@715fa8c5
[DEBUG] 2021-12-15 18:43:00.337 [main] BasicTypeRegistry - Adding type registration java.time.LocalDateTime -> org.hibernate.type.LocalDateTimeType@715fa8c5
[DEBUG] 2021-12-15 18:43:00.337 [main] BasicTypeRegistry - Adding type registration LocalDate -> org.hibernate.type.LocalDateType@6a3fbcb1
[DEBUG] 2021-12-15 18:43:00.337 [main] BasicTypeRegistry - Adding type registration java.time.LocalDate -> org.hibernate.type.LocalDateType@6a3fbcb1
[DEBUG] 2021-12-15 18:43:00.338 [main] BasicTypeRegistry - Adding type registration LocalTime -> org.hibernate.type.LocalTimeType@1310fcb0
[DEBUG] 2021-12-15 18:43:00.340 [main] BasicTypeRegistry - Adding type registration java.time.LocalTime -> org.hibernate.type.LocalTimeType@1310fcb0
[DEBUG] 2021-12-15 18:43:00.344 [main] BasicTypeRegistry - Adding type registration OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@415795f3
[DEBUG] 2021-12-15 18:43:00.345 [main] BasicTypeRegistry - Adding type registration java.time.OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@415795f3
[DEBUG] 2021-12-15 18:43:00.346 [main] BasicTypeRegistry - Adding type registration OffsetTime -> org.hibernate.type.OffsetTimeType@100aa331
[DEBUG] 2021-12-15 18:43:00.346 [main] BasicTypeRegistry - Adding type registration java.time.OffsetTime -> org.hibernate.type.OffsetTimeType@100aa331
[DEBUG] 2021-12-15 18:43:00.347 [main] BasicTypeRegistry - Adding type registration ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@5460edd3
[DEBUG] 2021-12-15 18:43:00.347 [main] BasicTypeRegistry - Adding type registration java.time.ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@5460edd3
[DEBUG] 2021-12-15 18:43:00.349 [main] BasicTypeRegistry - Adding type registration date -> org.hibernate.type.DateType@26582ca
[DEBUG] 2021-12-15 18:43:00.350 [main] BasicTypeRegistry - Adding type registration java.sql.Date -> org.hibernate.type.DateType@26582ca
[DEBUG] 2021-12-15 18:43:00.352 [main] BasicTypeRegistry - Adding type registration time -> org.hibernate.type.TimeType@7a83ccd2
[DEBUG] 2021-12-15 18:43:00.352 [main] BasicTypeRegistry - Adding type registration java.sql.Time -> org.hibernate.type.TimeType@7a83ccd2
[DEBUG] 2021-12-15 18:43:00.353 [main] BasicTypeRegistry - Adding type registration timestamp -> org.hibernate.type.TimestampType@2f3928ac
[DEBUG] 2021-12-15 18:43:00.356 [main] BasicTypeRegistry - Adding type registration java.sql.Timestamp -> org.hibernate.type.TimestampType@2f3928ac
[DEBUG] 2021-12-15 18:43:00.357 [main] BasicTypeRegistry - Adding type registration java.util.Date -> org.hibernate.type.TimestampType@2f3928ac
[DEBUG] 2021-12-15 18:43:00.363 [main] BasicTypeRegistry - Adding type registration dbtimestamp -> org.hibernate.type.DbTimestampType@22ead351
[DEBUG] 2021-12-15 18:43:00.366 [main] BasicTypeRegistry - Adding type registration calendar -> org.hibernate.type.CalendarType@44e4cb76
[DEBUG] 2021-12-15 18:43:00.366 [main] BasicTypeRegistry - Adding type registration java.util.Calendar -> org.hibernate.type.CalendarType@44e4cb76
[DEBUG] 2021-12-15 18:43:00.366 [main] BasicTypeRegistry - Adding type registration java.util.GregorianCalendar -> org.hibernate.type.CalendarType@44e4cb76
[DEBUG] 2021-12-15 18:43:00.367 [main] BasicTypeRegistry - Adding type registration calendar_date -> org.hibernate.type.CalendarDateType@110b7837
[DEBUG] 2021-12-15 18:43:00.368 [main] BasicTypeRegistry - Adding type registration locale -> org.hibernate.type.LocaleType@79957f11
[DEBUG] 2021-12-15 18:43:00.370 [main] BasicTypeRegistry - Adding type registration java.util.Locale -> org.hibernate.type.LocaleType@79957f11
[DEBUG] 2021-12-15 18:43:00.372 [main] BasicTypeRegistry - Adding type registration currency -> org.hibernate.type.CurrencyType@7cf63b9a
[DEBUG] 2021-12-15 18:43:00.372 [main] BasicTypeRegistry - Adding type registration java.util.Currency -> org.hibernate.type.CurrencyType@7cf63b9a
[DEBUG] 2021-12-15 18:43:00.373 [main] BasicTypeRegistry - Adding type registration timezone -> org.hibernate.type.TimeZoneType@50b734c4
[DEBUG] 2021-12-15 18:43:00.373 [main] BasicTypeRegistry - Adding type registration java.util.TimeZone -> org.hibernate.type.TimeZoneType@50b734c4
[DEBUG] 2021-12-15 18:43:00.375 [main] BasicTypeRegistry - Adding type registration class -> org.hibernate.type.ClassType@1c297897
[DEBUG] 2021-12-15 18:43:00.375 [main] BasicTypeRegistry - Adding type registration java.lang.Class -> org.hibernate.type.ClassType@1c297897
[DEBUG] 2021-12-15 18:43:00.376 [main] BasicTypeRegistry - Adding type registration uuid-binary -> org.hibernate.type.UUIDBinaryType@cbd40c1
[DEBUG] 2021-12-15 18:43:00.377 [main] BasicTypeRegistry - Adding type registration java.util.UUID -> org.hibernate.type.UUIDBinaryType@cbd40c1
[DEBUG] 2021-12-15 18:43:00.377 [main] BasicTypeRegistry - Adding type registration uuid-char -> org.hibernate.type.UUIDCharType@1e545821
[DEBUG] 2021-12-15 18:43:00.378 [main] BasicTypeRegistry - Adding type registration binary -> org.hibernate.type.BinaryType@7f5614f9
[DEBUG] 2021-12-15 18:43:00.379 [main] BasicTypeRegistry - Adding type registration byte[] -> org.hibernate.type.BinaryType@7f5614f9
[DEBUG] 2021-12-15 18:43:00.379 [main] BasicTypeRegistry - Adding type registration [B -> org.hibernate.type.BinaryType@7f5614f9
[DEBUG] 2021-12-15 18:43:00.381 [main] BasicTypeRegistry - Adding type registration wrapper-binary -> org.hibernate.type.WrapperBinaryType@2de9ca6
[DEBUG] 2021-12-15 18:43:00.382 [main] BasicTypeRegistry - Adding type registration Byte[] -> org.hibernate.type.WrapperBinaryType@2de9ca6
[DEBUG] 2021-12-15 18:43:00.382 [main] BasicTypeRegistry - Adding type registration [Ljava.lang.Byte; -> org.hibernate.type.WrapperBinaryType@2de9ca6
[DEBUG] 2021-12-15 18:43:00.382 [main] BasicTypeRegistry - Adding type registration row_version -> org.hibernate.type.RowVersionType@5a1dddba
[DEBUG] 2021-12-15 18:43:00.383 [main] BasicTypeRegistry - Adding type registration image -> org.hibernate.type.ImageType@1a9ec80e
