[DEBUG] 2021-12-15 18:25:58.183 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2021-12-15 18:25:58.189 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2021-12-15 18:25:58.213 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2021-12-15 18:25:58.411 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2021-12-15 18:25:58.421 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2021-12-15 18:25:58.762 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2021-12-15 18:25:59.208 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2021-12-15 18:25:59.251 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2021-12-15 18:25:59.255 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2021-12-15 18:25:59.294 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2021-12-15 18:25:59.359 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@5e50df2e
[DEBUG] 2021-12-15 18:25:59.359 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@5e50df2e
[DEBUG] 2021-12-15 18:25:59.359 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@5e50df2e
[DEBUG] 2021-12-15 18:25:59.362 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@2abafa97
[DEBUG] 2021-12-15 18:25:59.362 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@5460edd3
[DEBUG] 2021-12-15 18:25:59.362 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@587c5c1
[DEBUG] 2021-12-15 18:25:59.363 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@153cb763
[DEBUG] 2021-12-15 18:25:59.363 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@153cb763
[DEBUG] 2021-12-15 18:25:59.363 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@153cb763
